name,artist,artist_followers,artist_genres,artist_popularity,song_popularity,album,release_date,duration_ms
Büklüm Büklüm,Ferdi Özbeğen,274779,"arabesk, anatolian rock, turkish pop",61,55,Mutluluklar,1980-07-09,360234
Affetmem Asla Seni,Ferdi Özbeğen,274779,"arabesk, anatolian rock, turkish pop",61,42,Seviyorum Delicesine,1986,261546
Bir Sevgi İstiyorum,Ferdi Özbeğen,274779,"arabesk, anatolian rock, turkish pop",61,44,Piyanist,1986,214866
Bir İlkbahar Sabahı,Ferdi Özbeğen,274779,"arabesk, anatolian rock, turkish pop",61,37,Sevdiğiniz Şarkılar (Orijinal Plak Kayıtları),1986,297568
Haykıracak Nefesim Kalmasa Bile,Ferdi Özbeğen,274779,"arabesk, anatolian rock, turkish pop",61,38,Nerelerdeydiniz?,2013-01-30,201998
Akşam Olur Gizli Gizli,Ferdi Özbeğen,274779,"arabesk, anatolian rock, turkish pop",61,32,Bir Sır Gibi,1986,213586
Kaç Yıl Geçti Aradan,Ferdi Özbeğen,274779,"arabesk, anatolian rock, turkish pop",61,30,Teşekkürler,1979-05-17,214415
Rüyalarda Buluşuruz,Ferdi Özbeğen,274779,"arabesk, anatolian rock, turkish pop",61,32,Yaktı Geçti,1989-12-08,297533
Bir Fırtına Tuttu Bizi,Eylem Aktaş,81623,"arabesk, karadeniz folk, turkish pop",51,42,Özlem,2018-04-12,228146
Ayrılık Kolyesi,Ferdi Özbeğen,274779,"arabesk, anatolian rock, turkish pop",61,23,Teşekkürler,1979-05-17,273265
İşte Bu Bizim Hikayemiz,Ferdi Özbeğen,274779,"arabesk, anatolian rock, turkish pop",61,36,Nice Yıllara,1980,325360
Seni Bana Yazmışlar,Oya & Bora,23708,turkish pop,40,35,Seni Bana Yazmışlar,1992-11-04,204133
Yarası Saklım,Sezen Aksu,13986198,"arabesk, turkish pop",74,27,Düş Bahçeleri,1996-07-14,303986
Kan Çiçekleri,Zülfü Livaneli,555492,"anatolian rock, arabesk, turkish pop",48,0,Gökyüzü Herkesindir,2008,257866
Beni Hatırla,Ceylan Ertem,611595,"turkish pop, arabesk",47,42,Duyuyor Musun?,2022-08-05,307939
Aşkın Kederi,Manuş Baba,1007512,"turkish pop, arabesk",57,47,Dönersen Islık Çal,2017-04-27,229960
