name,artist,artist_followers,artist_popularity,song_popularity,album,release_date,genre,danceability,energy,valence,tempo,duration(min)
Boşver Arkadaş (Haydi Sil Gözlerini),İlhan İrem,193.824,46,46,Işık ve Sevgiyle 30 Yıl,01-01-2004,other,"0,597","0,658","0,504","124,0",3:06
Yazık Oldu Yarınlara,İlhan İrem,193.824,46,48,Dünden Yarına,01-01-1988,other,"0,658","0,613","0,512","118,0",4:08
Konuşamıyorum (Sazlıklardan Havalanan),İlhan İrem,193.824,46,49,Işık ve Sevgiyle 30 Yıl,01-01-2004,other,"0,664","0,652","0,564","119,0",4:05
Haydi Sil Gözlerini (Boşver Arkadaş),İlhan İrem,193.824,46,32,Dünden Yarına,01-01-1988,other,"0,57","0,708","0,538","126,0",2:56
Yolgeçen Hanı,İlhan İrem,193.824,46,32,Bezginin Gizli Mektupları,01-01-2000,other,"0,616","0,693","0,493","115,0",2:45
Sen Bilirsin,İlhan İrem,193.824,46,32,Işık ve Sevgiyle 30 Yıl,01-01-2004,other,"0,623","0,63","0,502","117,0",3:33
Ölmüş İçimde Hasret,İlhan İrem,193.824,46,24,Bezginin Gizli Mektupları,01-01-2000,other,"0,597","0,716","0,491","123,0",3:11
Bırak Kalsın Öylece,İlhan İrem,193.824,46,17,Bulutlara Köprü,01-01-2000,other,"0,627","0,668","0,491","125,0",2:10
İster İnan İster İnanma,İlhan İrem,193.824,46,12,Hayat Öpücüğü - The Best Of İlhan İrem 3,01-01-1998,other,"0,575","0,614","0,544","121,0",3:56
Bak Şu Aynaya,İlhan İrem,193.824,46,11,Düşler Ve Ötesi,01-01-2000,other,"0,582","0,72","0,503","114,0",3:03
Hoşgeldin,İlhan İrem,193.824,46,15,Sevgililer Günü - The Best Of İlhan İrem 1,01-01-1995,other,"0,666","0,628","0,533","116,0",2:27
Sevgi Sevgiyle Çoğalır,İlhan İrem,193.824,46,16,Düşler Ve Ötesi,01-01-2000,other,"0,635","0,622","0,562","118,0",3:58
Hayatın Üçüncü Gözü,İlhan İrem,193.824,46,18,İlhan-ı Aşk,01-01-1992,other,"0,635","0,635","0,495","128,0",6:20
"Yurtta Barış, Dünyada Barış",İlhan İrem,193.824,46,19,Dünden Yarına,01-01-1988,other,"0,587","0,655","0,487","125,0",2:58
Çöpçüler,Erkin Koray,811.083,53,56,"Çöpçüler / Ceylan / Dünden Esintiler, Vol.2",27-07-1993,klasik-rock,"0,453","0,802","0,614","120,0",3:59
Gül Pembe,Barış Manço,3.052.229,63,0,"Mançoloji, Vol. 1",23-02-1999,klasik-rock,"0,478","0,729","0,557","131,0",5:08
Dağlar Dağlar - V1,Barış Manço,3.052.229,63,0,7'den Sonsuza Barış Manço Set,01-02-2014,klasik-rock,"0,431","0,807","0,628","136,0",5:36
Gibi Gibi - V2,Barış Manço,3.052.229,63,0,7'den Sonsuza Barış Manço Set,01-02-2014,klasik-rock,"0,472","0,729","0,538","126,0",3:56
Ele Güne Karşı,MFÖ,1.176.742,53,57,Ele Güne Karşı Yapayalnız,29-01-2013,funk-rock,"0,673","0,744","0,668","124,0",3:09
Ceviz Ağacı,Cem Karaca,2.015.501,57,0,Merhaba Gençler,02-02-1994,klasik-rock,"0,444","0,818","0,62","122,0",5:49
Namus Belası,Cem Karaca,2.015.501,57,0,En İyileriyle Cem Karaca,31-05-2017,klasik-rock,"0,529","0,73","0,594","120,0",4:24
Deniz Üstü Köpürür,Cem Karaca,2.015.501,57,0,2.2.1973 Ankara,02-02-2016,klasik-rock,"0,495","0,772","0,617","130,0",4:08
Islak Islak,Barış Akarsu,994.237,53,0,Islak Islak,31-12-2004,other,"0,585","0,658","0,532","128,0",4:46
Gözlerin - Yalancı Yarim,Barış Akarsu,994.237,53,0,Düşmeden Bulutlarda Koşmam Gerek,03-08-2006,other,"0,579","0,614","0,54","123,0",3:10
Aynalı Kemer,Barış Manço,3.052.229,63,0,Barış Manço Forever,01-02-2014,klasik-rock,"0,468","0,845","0,568","122,0",3:06
Bu Son Olsun,Cem Karaca,2.015.501,57,0,Bu Son Olsun,04-03-2015,klasik-rock,"0,458","0,722","0,596","130,0",2:46
Tamirci Çırağı,Cem Karaca,2.015.501,57,56,Ölümsüzler,01-01-2004,klasik-rock,"0,491","0,819","0,613","134,0",4:56
İşte Geldik Gidiyoruz,Cem Karaca,2.015.501,57,46,Merhaba Gençler,01-01-1987,klasik-rock,"0,496","0,752","0,592","128,0",6:07
Uzun İnce Bir Yoldayım,Özdemir Erdoğan,247.549,52,40,Yorumcu,01-01-1989,other,"0,645","0,641","0,457","128,0",3:41
Gönül Ferman Dinlemiyor,Barış Manço,3.052.229,63,54,Sahibinden İhtiyaçtan,07-12-1989,klasik-rock,"0,525","0,779","0,544","128,0",4:48
Yiyin Efendiler,Cem Karaca,2.015.501,57,36,Yiyin Efendiler,05-01-2017,klasik-rock,"0,489","0,784","0,647","136,0",4:31
Leylim Ley,Haramiler,156.220,43,35,Kar Yağıyor Bugün Ankara'ya,26-06-2002,other,"0,663","0,618","0,553","123,0",4:55
Dönence,Barış Manço,3.052.229,63,58,Hal Hal,22-12-1989,klasik-rock,"0,467","0,806","0,622","135,0",6:44
